NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010104.datbatch Co_020_Pt_080.spc
str Co_020_Pt_080.str
file Co_020_Pt_0801.dat
geo Co_020_Pt_0801.geo
element O    
 depth(at/cm2) element>0 element depth(nm)
-0.318003E+03 -0.275959E+03  0.000000E+00 -0.447186E+02
-0.307137E+03 -0.277143E+03  0.000000E+00 -0.431906E+02
-0.296271E+03 -0.277987E+03  0.000000E+00 -0.416626E+02
-0.285405E+03 -0.278568E+03  0.000000E+00 -0.401346E+02
-0.274540E+03 -0.278951E+03  0.000000E+00 -0.386067E+02
-0.263674E+03 -0.279190E+03  0.000000E+00 -0.370787E+02
-0.252808E+03 -0.279327E+03  0.000000E+00 -0.355507E+02
-0.241942E+03 -0.279390E+03  0.000000E+00 -0.340227E+02
-0.231077E+03 -0.279402E+03  0.000000E+00 -0.324947E+02
-0.220211E+03 -0.279382E+03  0.000000E+00 -0.309668E+02
-0.209345E+03 -0.279340E+03  0.000000E+00 -0.294388E+02
-0.198479E+03 -0.279283E+03  0.000000E+00 -0.279108E+02
-0.187614E+03 -0.279218E+03  0.000000E+00 -0.263828E+02
-0.176748E+03 -0.279148E+03  0.000000E+00 -0.248549E+02
-0.165882E+03 -0.279075E+03  0.000000E+00 -0.233269E+02
-0.155016E+03 -0.279000E+03  0.000000E+00 -0.217989E+02
-0.144151E+03 -0.278926E+03  0.000000E+00 -0.202709E+02
-0.133285E+03 -0.278851E+03  0.000000E+00 -0.187429E+02
-0.122419E+03 -0.278776E+03  0.000000E+00 -0.172150E+02
-0.111553E+03 -0.278702E+03  0.000000E+00 -0.156870E+02
-0.100688E+03 -0.278629E+03  0.000000E+00 -0.141590E+02
-0.898218E+02 -0.278556E+03  0.000000E+00 -0.126310E+02
-0.789561E+02 -0.278484E+03  0.000000E+00 -0.111031E+02
-0.680903E+02 -0.278413E+03  0.000000E+00 -0.957508E+01
-0.572246E+02 -0.278342E+03  0.000000E+00 -0.804711E+01
-0.463588E+02 -0.278273E+03  0.000000E+00 -0.651913E+01
-0.354931E+02 -0.278203E+03  0.000000E+00 -0.499115E+01
-0.246273E+02 -0.278135E+03  0.000000E+00 -0.346318E+01
-0.137616E+02 -0.278068E+03  0.000000E+00 -0.193520E+01
-0.289583E+01 -0.278001E+03  0.000000E+00 -0.407221E+00
 0.796992E+01 -0.277805E+03  0.000000E+00  0.112076E+01
 0.188357E+02 -0.277739E+03  0.000000E+00  0.264873E+01
 0.297014E+02 -0.277675E+03  0.000000E+00  0.417671E+01
 0.405688E+02 -0.277571E+03  0.000000E+00  0.570491E+01
 0.514389E+02 -0.277437E+03  0.000000E+00  0.723350E+01
 0.623089E+02 -0.277375E+03  0.000000E+00  0.876208E+01
 0.731790E+02 -0.277314E+03  0.000000E+00  0.102907E+02
 0.840535E+02 -0.277142E+03  0.000000E+00  0.118199E+02
 0.949279E+02 -0.277082E+03  0.000000E+00  0.133491E+02
 0.105802E+03 -0.277023E+03  0.000000E+00  0.148783E+02
 0.116680E+03 -0.276884E+03  0.000000E+00  0.164079E+02
 0.127559E+03 -0.276781E+03  0.000000E+00  0.179378E+02
 0.138439E+03 -0.276724E+03  0.000000E+00  0.194677E+02
 0.149319E+03 -0.276630E+03  0.000000E+00  0.209978E+02
 0.160204E+03 -0.276474E+03  0.000000E+00  0.225284E+02
 0.171089E+03 -0.276420E+03  0.000000E+00  0.240591E+02
 0.181974E+03 -0.276367E+03  0.000000E+00  0.255897E+02
 0.192864E+03 -0.276174E+03  0.000000E+00  0.271212E+02
 0.203755E+03 -0.276108E+03  0.000000E+00  0.286527E+02
 0.214646E+03 -0.276057E+03  0.000000E+00  0.301842E+02
 0.225540E+03 -0.275919E+03  0.000000E+00  0.317162E+02
