NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010101.datbatch Co_020_Pt_080.spc
str Co_020_Pt_080.str
file Co_020_Pt_0801.dat
geo Co_020_Pt_0801.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.278495E+03 -0.702217E+03  0.000000E+00 -0.391629E+02
-0.269088E+03 -0.702015E+03  0.000000E+00 -0.378400E+02
-0.259680E+03 -0.701808E+03  0.000000E+00 -0.365171E+02
-0.250273E+03 -0.701607E+03  0.000000E+00 -0.351942E+02
-0.240866E+03 -0.701404E+03  0.000000E+00 -0.338713E+02
-0.231459E+03 -0.701202E+03  0.000000E+00 -0.325484E+02
-0.222051E+03 -0.700997E+03  0.000000E+00 -0.312256E+02
-0.212644E+03 -0.700796E+03  0.000000E+00 -0.299027E+02
-0.203237E+03 -0.700590E+03  0.000000E+00 -0.285798E+02
-0.193829E+03 -0.700389E+03  0.000000E+00 -0.272569E+02
-0.184422E+03 -0.700185E+03  0.000000E+00 -0.259340E+02
-0.175015E+03 -0.699980E+03  0.000000E+00 -0.246111E+02
-0.165607E+03 -0.699777E+03  0.000000E+00 -0.232882E+02
-0.156200E+03 -0.699573E+03  0.000000E+00 -0.219654E+02
-0.146793E+03 -0.699372E+03  0.000000E+00 -0.206425E+02
-0.137385E+03 -0.699166E+03  0.000000E+00 -0.193196E+02
-0.127978E+03 -0.698964E+03  0.000000E+00 -0.179967E+02
-0.118571E+03 -0.698758E+03  0.000000E+00 -0.166738E+02
-0.109164E+03 -0.698554E+03  0.000000E+00 -0.153509E+02
-0.997562E+02 -0.698348E+03  0.000000E+00 -0.140280E+02
-0.903489E+02 -0.698139E+03  0.000000E+00 -0.127052E+02
-0.809416E+02 -0.697930E+03  0.000000E+00 -0.113823E+02
-0.715343E+02 -0.697714E+03  0.000000E+00 -0.100594E+02
-0.621270E+02 -0.697494E+03  0.000000E+00 -0.873650E+01
-0.527197E+02 -0.697262E+03  0.000000E+00 -0.741362E+01
-0.433124E+02 -0.697016E+03  0.000000E+00 -0.609073E+01
-0.339051E+02 -0.696745E+03  0.000000E+00 -0.476785E+01
-0.244978E+02 -0.696442E+03  0.000000E+00 -0.344496E+01
-0.150905E+02 -0.696087E+03  0.000000E+00 -0.212208E+01
-0.568320E+01 -0.695666E+03  0.000000E+00 -0.799190E+00
 0.372411E+01 -0.694766E+03  0.000000E+00  0.523696E+00
 0.131314E+02 -0.694107E+03  0.000000E+00  0.184658E+01
 0.225387E+02 -0.693267E+03  0.000000E+00  0.316947E+01
 0.319460E+02 -0.692177E+03  0.000000E+00  0.449235E+01
 0.413478E+02 -0.691171E+03  0.000000E+00  0.581446E+01
 0.507442E+02 -0.689730E+03  0.000000E+00  0.713581E+01
 0.601406E+02 -0.687356E+03  0.000000E+00  0.845716E+01
 0.695370E+02 -0.684314E+03  0.000000E+00  0.977851E+01
 0.789270E+02 -0.680905E+03  0.000000E+00  0.110990E+02
 0.883129E+02 -0.676320E+03  0.000000E+00  0.124188E+02
 0.976988E+02 -0.670245E+03  0.000000E+00  0.137387E+02
 0.107085E+03 -0.662777E+03  0.000000E+00  0.150586E+02
 0.116463E+03 -0.654246E+03  0.000000E+00  0.163774E+02
 0.125838E+03 -0.643578E+03  0.000000E+00  0.176958E+02
 0.135213E+03 -0.630699E+03  0.000000E+00  0.190141E+02
 0.144588E+03 -0.615671E+03  0.000000E+00  0.203325E+02
 0.153955E+03 -0.598919E+03  0.000000E+00  0.216496E+02
 0.163319E+03 -0.579376E+03  0.000000E+00  0.229665E+02
 0.172684E+03 -0.557350E+03  0.000000E+00  0.242834E+02
 0.182048E+03 -0.533023E+03  0.000000E+00  0.256002E+02
 0.191403E+03 -0.507051E+03  0.000000E+00  0.269157E+02
 0.200757E+03 -0.478612E+03  0.000000E+00  0.282311E+02
 0.210111E+03 -0.448437E+03  0.000000E+00  0.295465E+02
 0.219465E+03 -0.416922E+03  0.000000E+00  0.308618E+02
 0.228808E+03 -0.384906E+03  0.000000E+00  0.321757E+02
 0.238151E+03 -0.351918E+03  0.000000E+00  0.334896E+02
 0.247495E+03 -0.318886E+03  0.000000E+00  0.348035E+02
 0.256837E+03 -0.286305E+03  0.000000E+00  0.361172E+02
 0.266169E+03 -0.254831E+03  0.000000E+00  0.374296E+02
 0.275502E+03 -0.224332E+03  0.000000E+00  0.387420E+02
 0.284834E+03 -0.195469E+03  0.000000E+00  0.400543E+02
 0.294165E+03 -0.168568E+03  0.000000E+00  0.413664E+02
 0.303487E+03 -0.143922E+03  0.000000E+00  0.426773E+02
 0.312809E+03 -0.121420E+03  0.000000E+00  0.439882E+02
 0.322131E+03 -0.101294E+03  0.000000E+00  0.452990E+02
 0.331450E+03 -0.835661E+02  0.000000E+00  0.466096E+02
 0.340761E+03 -0.681878E+02  0.000000E+00  0.479190E+02
 0.350073E+03 -0.549409E+02  0.000000E+00  0.492283E+02
 0.359384E+03 -0.437430E+02  0.000000E+00  0.505377E+02
 0.368692E+03 -0.344217E+02  0.000000E+00  0.518467E+02
 0.377993E+03 -0.267696E+02  0.000000E+00  0.531546E+02
 0.387294E+03 -0.205482E+02  0.000000E+00  0.544626E+02
 0.396595E+03 -0.155778E+02  0.000000E+00  0.557705E+02
 0.405892E+03 -0.116677E+02  0.000000E+00  0.570779E+02
 0.415182E+03 -0.863200E+01  0.000000E+00  0.583843E+02
 0.424472E+03 -0.630075E+01  0.000000E+00  0.596907E+02
 0.433762E+03 -0.454060E+01  0.000000E+00  0.609971E+02
 0.443048E+03 -0.323181E+01  0.000000E+00  0.623028E+02
 0.452328E+03 -0.227096E+01  0.000000E+00  0.636078E+02
 0.461608E+03 -0.157415E+01  0.000000E+00  0.649128E+02
 0.470888E+03 -0.107692E+01  0.000000E+00  0.662178E+02
 0.480162E+03 -0.727691E+00  0.000000E+00  0.675220E+02
 0.489432E+03 -0.485171E+00  0.000000E+00  0.688255E+02
 0.498701E+03 -0.319011E+00  0.000000E+00  0.701290E+02
 0.507971E+03 -0.206955E+00  0.000000E+00  0.714325E+02
 0.517234E+03 -0.132526E+00  0.000000E+00  0.727352E+02
 0.526493E+03 -0.836870E-01  0.000000E+00  0.740372E+02
 0.535753E+03 -0.520699E-01  0.000000E+00  0.753393E+02
 0.545012E+03 -0.319142E-01  0.000000E+00  0.766413E+02
 0.554265E+03 -0.192553E-01  0.000000E+00  0.779425E+02
 0.563513E+03 -0.113975E-01  0.000000E+00  0.792430E+02
 0.572762E+03 -0.658431E-02  0.000000E+00  0.805436E+02
 0.582010E+03 -0.367731E-02  0.000000E+00  0.818442E+02
 0.591252E+03 -0.212860E-02  0.000000E+00  0.831438E+02
 0.600491E+03 -0.111293E-02  0.000000E+00  0.844429E+02
 0.609729E+03 -0.520686E-03  0.000000E+00  0.857420E+02
 0.618967E+03 -0.177819E-03  0.000000E+00  0.870411E+02
 0.628198E+03  0.000000E+00  0.000000E+00  0.883392E+02
 0.637426E+03  0.000000E+00  0.000000E+00  0.896369E+02
 0.646654E+03  0.000000E+00  0.000000E+00  0.909345E+02
 0.655882E+03  0.000000E+00  0.000000E+00  0.922322E+02
 0.665102E+03  0.000000E+00  0.000000E+00  0.935288E+02
 0.674320E+03  0.000000E+00  0.000000E+00  0.948251E+02
 0.683538E+03  0.000000E+00  0.000000E+00  0.961213E+02
 0.692756E+03  0.000000E+00  0.000000E+00  0.974175E+02
 0.701966E+03  0.000000E+00  0.000000E+00  0.987127E+02
 0.711173E+03  0.000000E+00  0.000000E+00  0.100007E+03
 0.720380E+03  0.000000E+00  0.000000E+00  0.101302E+03
 0.729587E+03  0.000000E+00  0.000000E+00  0.102597E+03
 0.738787E+03  0.000000E+00  0.000000E+00  0.103891E+03
