Ion = Chlorine    , Mass = 34.969
Tgt =  H (Solid), Density = .07 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
2.509E+04   1.725E+02  3.188E-01 
2.509E+04   1.725E+02  3.187E-01 
2.509E+04   1.725E+02  3.187E-01 
2.509E+04   1.725E+02  3.187E-01 
2.510E+04   1.725E+02  3.187E-01 
2.510E+04   1.725E+02  3.187E-01 
2.510E+04   1.725E+02  3.187E-01 
2.510E+04   1.725E+02  3.187E-01 
2.510E+04   1.725E+02  3.186E-01 
2.510E+04   1.725E+02  3.186E-01 
2.510E+04   1.725E+02  3.186E-01 
2.510E+04   1.725E+02  3.186E-01 
2.511E+04   1.725E+02  3.186E-01 
2.511E+04   1.725E+02  3.186E-01 
2.511E+04   1.725E+02  3.186E-01 
2.511E+04   1.725E+02  3.186E-01 
2.511E+04   1.725E+02  3.185E-01 
2.511E+04   1.725E+02  3.185E-01 
2.511E+04   1.725E+02  3.185E-01 
2.511E+04   1.725E+02  3.185E-01 
2.512E+04   1.725E+02  3.185E-01 
2.512E+04   1.725E+02  3.185E-01 
2.512E+04   1.725E+02  3.185E-01 
2.512E+04   1.725E+02  3.184E-01 
2.512E+04   1.725E+02  3.184E-01 
2.512E+04   1.725E+02  3.184E-01 
2.512E+04   1.725E+02  3.184E-01 
2.513E+04   1.725E+02  3.184E-01 
2.513E+04   1.725E+02  3.184E-01 
2.513E+04   1.725E+02  3.184E-01 
2.513E+04   1.725E+02  3.183E-01 
2.513E+04   1.725E+02  3.183E-01 
2.513E+04   1.725E+02  3.183E-01 
2.513E+04   1.725E+02  3.183E-01 
2.513E+04   1.725E+02  3.183E-01 
2.514E+04   1.725E+02  3.183E-01 
2.514E+04   1.725E+02  3.183E-01 
2.514E+04   1.725E+02  3.182E-01 
2.514E+04   1.725E+02  3.182E-01 
2.514E+04   1.725E+02  3.182E-01 
2.514E+04   1.725E+02  3.182E-01 
2.514E+04   1.725E+02  3.182E-01 
2.514E+04   1.725E+02  3.182E-01 
2.515E+04   1.725E+02  3.182E-01 
2.515E+04   1.725E+02  3.181E-01 
2.515E+04   1.725E+02  3.181E-01 
2.515E+04   1.725E+02  3.181E-01 
2.515E+04   1.725E+02  3.181E-01 
2.515E+04   1.725E+02  3.181E-01 
2.515E+04   1.725E+02  3.181E-01 
2.516E+04   1.725E+02  3.181E-01 
2.516E+04   1.725E+02  3.181E-01 
2.516E+04   1.725E+02  3.180E-01 
2.516E+04   1.725E+02  3.180E-01 
2.516E+04   1.725E+02  3.180E-01 
2.516E+04   1.725E+02  3.180E-01 
2.516E+04   1.725E+02  3.180E-01 
2.516E+04   1.725E+02  3.180E-01 
2.517E+04   1.725E+02  3.180E-01 
2.517E+04   1.725E+02  3.179E-01 
2.517E+04   1.725E+02  3.179E-01 
2.517E+04   1.725E+02  3.179E-01 
2.517E+04   1.725E+02  3.179E-01 
2.517E+04   1.725E+02  3.179E-01 
2.517E+04   1.724E+02  3.179E-01 
2.518E+04   1.724E+02  3.179E-01 
2.518E+04   1.724E+02  3.178E-01 
2.518E+04   1.724E+02  3.178E-01 
2.518E+04   1.724E+02  3.178E-01 
2.518E+04   1.724E+02  3.178E-01 
2.518E+04   1.724E+02  3.178E-01 
2.518E+04   1.724E+02  3.178E-01 
2.518E+04   1.724E+02  3.178E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.177E-01 
2.519E+04   1.724E+02  3.176E-01 
2.520E+04   1.724E+02  3.176E-01 
2.520E+04   1.724E+02  3.176E-01 
2.520E+04   1.724E+02  3.176E-01 
2.520E+04   1.724E+02  3.176E-01 
2.520E+04   1.724E+02  3.176E-01 
2.520E+04   1.724E+02  3.176E-01 
