NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 16:52:57 Filename: Co010102.datbatch Co_065_Pt_035.spc
str Co_065_Pt_035.str
file Co_065_Pt_0351.dat
geo Co_065_Pt_0351.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
-0.320657E+03  0.000000E+00  0.000000E+00 -0.390050E+02
-0.309938E+03  0.000000E+00  0.000000E+00 -0.377013E+02
-0.299220E+03  0.000000E+00  0.000000E+00 -0.363975E+02
-0.288502E+03  0.000000E+00  0.000000E+00 -0.350937E+02
-0.277784E+03  0.000000E+00  0.000000E+00 -0.337900E+02
-0.267066E+03  0.000000E+00  0.000000E+00 -0.324862E+02
-0.256347E+03  0.000000E+00  0.000000E+00 -0.311824E+02
-0.245629E+03  0.000000E+00  0.000000E+00 -0.298786E+02
-0.234911E+03  0.000000E+00  0.000000E+00 -0.285749E+02
-0.224193E+03  0.000000E+00  0.000000E+00 -0.272711E+02
-0.213475E+03  0.000000E+00  0.000000E+00 -0.259673E+02
-0.202757E+03  0.000000E+00  0.000000E+00 -0.246635E+02
-0.192038E+03  0.000000E+00  0.000000E+00 -0.233598E+02
-0.181320E+03  0.000000E+00  0.000000E+00 -0.220560E+02
-0.170602E+03  0.000000E+00  0.000000E+00 -0.207522E+02
-0.159884E+03  0.000000E+00  0.000000E+00 -0.194485E+02
-0.149166E+03  0.000000E+00  0.000000E+00 -0.181447E+02
-0.138447E+03  0.000000E+00  0.000000E+00 -0.168409E+02
-0.127729E+03  0.000000E+00  0.000000E+00 -0.155371E+02
-0.117011E+03  0.000000E+00  0.000000E+00 -0.142334E+02
-0.106293E+03  0.000000E+00  0.000000E+00 -0.129296E+02
-0.955746E+02  0.000000E+00  0.000000E+00 -0.116258E+02
-0.848565E+02  0.000000E+00  0.000000E+00 -0.103220E+02
-0.741383E+02  0.000000E+00  0.000000E+00 -0.901827E+01
-0.634201E+02  0.000000E+00  0.000000E+00 -0.771449E+01
-0.527019E+02  0.000000E+00  0.000000E+00 -0.641072E+01
-0.419837E+02  0.000000E+00  0.000000E+00 -0.510695E+01
-0.312655E+02  0.000000E+00  0.000000E+00 -0.380318E+01
-0.205473E+02  0.000000E+00  0.000000E+00 -0.249940E+01
-0.982915E+01  0.000000E+00  0.000000E+00 -0.119563E+01
 0.889039E+00  0.000000E+00  0.000000E+00  0.108144E+00
 0.116072E+02  0.000000E+00  0.000000E+00  0.141192E+01
 0.223254E+02  0.000000E+00  0.000000E+00  0.271569E+01
 0.330436E+02  0.000000E+00  0.000000E+00  0.401946E+01
 0.437535E+02  0.000000E+00  0.000000E+00  0.532222E+01
 0.544592E+02  0.000000E+00  0.000000E+00  0.662448E+01
 0.651649E+02  0.000000E+00  0.000000E+00  0.792674E+01
 0.758675E+02  0.000000E+00  0.000000E+00  0.922861E+01
 0.865607E+02  0.000000E+00  0.000000E+00  0.105293E+02
 0.972538E+02  0.000000E+00  0.000000E+00  0.118301E+02
 0.107947E+03  0.000000E+00  0.000000E+00  0.131308E+02
 0.118630E+03  0.000000E+00  0.000000E+00  0.144303E+02
 0.129311E+03  0.000000E+00  0.000000E+00  0.157296E+02
 0.139992E+03  0.000000E+00  0.000000E+00  0.170288E+02
 0.150668E+03  0.000000E+00  0.000000E+00  0.183275E+02
 0.161337E+03  0.000000E+00  0.000000E+00  0.196252E+02
 0.172006E+03  0.000000E+00  0.000000E+00  0.209230E+02
 0.182674E+03  0.000000E+00  0.000000E+00  0.222207E+02
 0.193331E+03  0.000000E+00  0.000000E+00  0.235170E+02
 0.203987E+03  0.000000E+00  0.000000E+00  0.248132E+02
 0.214643E+03  0.000000E+00  0.000000E+00  0.261094E+02
 0.225292E+03  0.000000E+00  0.000000E+00  0.274048E+02
 0.235936E+03  0.000000E+00  0.000000E+00  0.286996E+02
 0.246580E+03  0.000000E+00  0.000000E+00  0.299943E+02
 0.257223E+03  0.000000E+00  0.000000E+00  0.312889E+02
 0.267854E+03  0.000000E+00  0.000000E+00  0.325821E+02
 0.278485E+03  0.000000E+00  0.000000E+00  0.338752E+02
 0.289116E+03  0.000000E+00  0.000000E+00  0.351684E+02
 0.299739E+03  0.000000E+00  0.000000E+00  0.364606E+02
 0.310359E+03  0.000000E+00  0.000000E+00  0.377524E+02
 0.320978E+03  0.000000E+00  0.000000E+00  0.390441E+02
 0.331594E+03  0.000000E+00  0.000000E+00  0.403355E+02
 0.342201E+03  0.000000E+00  0.000000E+00  0.416257E+02
 0.352808E+03  0.000000E+00  0.000000E+00  0.429159E+02
 0.363414E+03  0.000000E+00  0.000000E+00  0.442061E+02
 0.374011E+03  0.000000E+00  0.000000E+00  0.454952E+02
 0.384605E+03  0.000000E+00  0.000000E+00  0.467838E+02
 0.395199E+03  0.000000E+00  0.000000E+00  0.480725E+02
 0.405789E+03  0.000000E+00  0.000000E+00  0.493607E+02
 0.416371E+03  0.000000E+00  0.000000E+00  0.506479E+02
 0.426953E+03  0.000000E+00  0.000000E+00  0.519351E+02
 0.437536E+03  0.000000E+00  0.000000E+00  0.532223E+02
 0.448107E+03  0.000000E+00  0.000000E+00  0.545083E+02
 0.458677E+03  0.000000E+00  0.000000E+00  0.557940E+02
 0.469246E+03  0.000000E+00  0.000000E+00  0.570797E+02
 0.479811E+03  0.000000E+00  0.000000E+00  0.583648E+02
 0.490368E+03  0.000000E+00  0.000000E+00  0.596489E+02
 0.500925E+03  0.000000E+00  0.000000E+00  0.609331E+02
 0.511482E+03  0.000000E+00  0.000000E+00  0.622173E+02
