NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010101.datbatch Co_043_Pt_057.spc
str Co_043_Pt_057.str
file Co_043_Pt_0571.dat
geo Co_043_Pt_0571.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.302086E+03 -0.499970E+03  0.000000E+00 -0.393424E+02
-0.291882E+03 -0.499815E+03  0.000000E+00 -0.380135E+02
-0.281678E+03 -0.499660E+03  0.000000E+00 -0.366845E+02
-0.271474E+03 -0.499507E+03  0.000000E+00 -0.353556E+02
-0.261269E+03 -0.499352E+03  0.000000E+00 -0.340266E+02
-0.251065E+03 -0.499199E+03  0.000000E+00 -0.326977E+02
-0.240861E+03 -0.499043E+03  0.000000E+00 -0.313687E+02
-0.230657E+03 -0.498888E+03  0.000000E+00 -0.300398E+02
-0.220453E+03 -0.498731E+03  0.000000E+00 -0.287108E+02
-0.210248E+03 -0.498575E+03  0.000000E+00 -0.273819E+02
-0.200044E+03 -0.498413E+03  0.000000E+00 -0.260529E+02
-0.189840E+03 -0.498247E+03  0.000000E+00 -0.247240E+02
-0.179636E+03 -0.498077E+03  0.000000E+00 -0.233950E+02
-0.169432E+03 -0.497895E+03  0.000000E+00 -0.220661E+02
-0.159227E+03 -0.497698E+03  0.000000E+00 -0.207371E+02
-0.149023E+03 -0.497476E+03  0.000000E+00 -0.194082E+02
-0.138819E+03 -0.497220E+03  0.000000E+00 -0.180792E+02
-0.128615E+03 -0.496908E+03  0.000000E+00 -0.167503E+02
-0.118411E+03 -0.496522E+03  0.000000E+00 -0.154213E+02
-0.108207E+03 -0.496025E+03  0.000000E+00 -0.140924E+02
-0.980023E+02 -0.495378E+03  0.000000E+00 -0.127634E+02
-0.877981E+02 -0.494527E+03  0.000000E+00 -0.114345E+02
-0.775940E+02 -0.493399E+03  0.000000E+00 -0.101055E+02
-0.673898E+02 -0.491909E+03  0.000000E+00 -0.877656E+01
-0.571856E+02 -0.489950E+03  0.000000E+00 -0.744761E+01
-0.469814E+02 -0.487401E+03  0.000000E+00 -0.611866E+01
-0.367772E+02 -0.484112E+03  0.000000E+00 -0.478971E+01
-0.265730E+02 -0.479930E+03  0.000000E+00 -0.346076E+01
-0.163688E+02 -0.474677E+03  0.000000E+00 -0.213180E+01
