NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 17:05:44 Filename: Co010102.datbatch Co_060_Pt_040.spc
str Co_060_Pt_040.str
file Co_060_Pt_0401.dat
geo Co_060_Pt_0401.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
-0.314196E+03  0.000000E+00  0.000000E+00 -0.388011E+02
-0.303693E+03  0.000000E+00  0.000000E+00 -0.375041E+02
-0.293191E+03  0.000000E+00  0.000000E+00 -0.362072E+02
-0.282689E+03  0.000000E+00  0.000000E+00 -0.349102E+02
-0.272187E+03  0.000000E+00  0.000000E+00 -0.336133E+02
-0.261685E+03  0.000000E+00  0.000000E+00 -0.323163E+02
-0.251182E+03  0.000000E+00  0.000000E+00 -0.310194E+02
-0.240680E+03  0.000000E+00  0.000000E+00 -0.297224E+02
-0.230178E+03  0.000000E+00  0.000000E+00 -0.284254E+02
-0.219676E+03  0.000000E+00  0.000000E+00 -0.271285E+02
-0.209173E+03  0.000000E+00  0.000000E+00 -0.258315E+02
-0.198671E+03  0.000000E+00  0.000000E+00 -0.245346E+02
-0.188169E+03  0.000000E+00  0.000000E+00 -0.232376E+02
-0.177667E+03  0.000000E+00  0.000000E+00 -0.219407E+02
-0.167165E+03  0.000000E+00  0.000000E+00 -0.206437E+02
-0.156662E+03  0.000000E+00  0.000000E+00 -0.193468E+02
-0.146160E+03  0.000000E+00  0.000000E+00 -0.180498E+02
-0.135658E+03  0.000000E+00  0.000000E+00 -0.167528E+02
-0.125156E+03  0.000000E+00  0.000000E+00 -0.154559E+02
-0.114653E+03  0.000000E+00  0.000000E+00 -0.141589E+02
-0.104151E+03  0.000000E+00  0.000000E+00 -0.128620E+02
-0.936489E+02  0.000000E+00  0.000000E+00 -0.115650E+02
-0.831467E+02  0.000000E+00  0.000000E+00 -0.102681E+02
-0.726445E+02  0.000000E+00  0.000000E+00 -0.897111E+01
-0.621422E+02  0.000000E+00  0.000000E+00 -0.767416E+01
-0.516400E+02  0.000000E+00  0.000000E+00 -0.637720E+01
-0.411378E+02  0.000000E+00  0.000000E+00 -0.508024E+01
