NDF v10.0b 16Jan21 rev 16Jan21 run 09/05/2022 16:52:57 Filename: Co010101.datbatch Co_081_Pt_019.spc
str Co_081_Pt_019.str
file Co_081_Pt_0191.dat
geo Co_081_Pt_0191.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.351250E+03 -0.165983E+03  0.000000E+00 -0.407697E+02
-0.339385E+03 -0.165690E+03  0.000000E+00 -0.393926E+02
-0.327520E+03 -0.165283E+03  0.000000E+00 -0.380154E+02
-0.315655E+03 -0.164724E+03  0.000000E+00 -0.366382E+02
-0.303790E+03 -0.163955E+03  0.000000E+00 -0.352611E+02
-0.291925E+03 -0.162914E+03  0.000000E+00 -0.338839E+02
-0.280061E+03 -0.161526E+03  0.000000E+00 -0.325067E+02
-0.268196E+03 -0.159706E+03  0.000000E+00 -0.311296E+02
-0.256331E+03 -0.157363E+03  0.000000E+00 -0.297524E+02
-0.244466E+03 -0.154406E+03  0.000000E+00 -0.283753E+02
-0.232601E+03 -0.150747E+03  0.000000E+00 -0.269981E+02
-0.220736E+03 -0.146311E+03  0.000000E+00 -0.256209E+02
-0.208871E+03 -0.141046E+03  0.000000E+00 -0.242438E+02
-0.197006E+03 -0.134926E+03  0.000000E+00 -0.228666E+02
-0.185141E+03 -0.127960E+03  0.000000E+00 -0.214894E+02
-0.173276E+03 -0.120197E+03  0.000000E+00 -0.201123E+02
-0.161412E+03 -0.111730E+03  0.000000E+00 -0.187351E+02
-0.149547E+03 -0.102689E+03  0.000000E+00 -0.173579E+02
-0.137682E+03 -0.932402E+02  0.000000E+00 -0.159808E+02
-0.125817E+03 -0.835731E+02  0.000000E+00 -0.146036E+02
-0.113952E+03 -0.738933E+02  0.000000E+00 -0.132265E+02
-0.102087E+03 -0.644059E+02  0.000000E+00 -0.118493E+02
-0.902222E+02 -0.553048E+02  0.000000E+00 -0.104721E+02
-0.783573E+02 -0.467599E+02  0.000000E+00 -0.909496E+01
-0.664924E+02 -0.389072E+02  0.000000E+00 -0.771780E+01
-0.546275E+02 -0.318444E+02  0.000000E+00 -0.634064E+01
-0.427626E+02 -0.256267E+02  0.000000E+00 -0.496347E+01
-0.308977E+02 -0.202697E+02  0.000000E+00 -0.358631E+01
-0.190328E+02 -0.157522E+02  0.000000E+00 -0.220914E+01
-0.716789E+01 -0.120237E+02  0.000000E+00 -0.831980E+00
 0.469700E+01 -0.900689E+01  0.000000E+00  0.545183E+00
 0.165619E+02 -0.662700E+01  0.000000E+00  0.192235E+01
 0.284268E+02 -0.478546E+01  0.000000E+00  0.329951E+01
 0.402876E+02 -0.339195E+01  0.000000E+00  0.467620E+01
 0.521394E+02 -0.235964E+01  0.000000E+00  0.605184E+01
 0.639911E+02 -0.160887E+01  0.000000E+00  0.742748E+01
 0.758401E+02 -0.107606E+01  0.000000E+00  0.880279E+01
 0.876794E+02 -0.706127E+00  0.000000E+00  0.101770E+02
 0.995188E+02 -0.453928E+00  0.000000E+00  0.115512E+02
 0.111356E+03 -0.286098E+00  0.000000E+00  0.129252E+02
 0.123183E+03 -0.176882E+00  0.000000E+00  0.142979E+02
 0.135009E+03 -0.107070E+00  0.000000E+00  0.156705E+02
 0.146835E+03 -0.635043E-01  0.000000E+00  0.170432E+02
 0.158648E+03 -0.369309E-01  0.000000E+00  0.184143E+02
 0.170461E+03 -0.210040E-01  0.000000E+00  0.197855E+02
 0.182274E+03 -0.117342E-01  0.000000E+00  0.211567E+02
 0.194076E+03 -0.640441E-02  0.000000E+00  0.225265E+02
 0.205877E+03 -0.341024E-02  0.000000E+00  0.238963E+02
 0.217678E+03 -0.176656E-02  0.000000E+00  0.252660E+02
 0.229468E+03 -0.883698E-03  0.000000E+00  0.266344E+02
 0.241255E+03 -0.417536E-03  0.000000E+00  0.280026E+02
 0.253043E+03 -0.176145E-03  0.000000E+00  0.293708E+02
 0.264821E+03 -0.529521E-04  0.000000E+00  0.307379E+02
 0.276597E+03  0.000000E+00  0.000000E+00  0.321047E+02
 0.288373E+03  0.000000E+00  0.000000E+00  0.334715E+02
 0.300140E+03  0.000000E+00  0.000000E+00  0.348373E+02
 0.311902E+03  0.000000E+00  0.000000E+00  0.362026E+02
 0.323664E+03  0.000000E+00  0.000000E+00  0.375678E+02
 0.335420E+03  0.000000E+00  0.000000E+00  0.389323E+02
 0.347169E+03  0.000000E+00  0.000000E+00  0.402961E+02
 0.358919E+03  0.000000E+00  0.000000E+00  0.416599E+02
 0.370664E+03  0.000000E+00  0.000000E+00  0.430231E+02
 0.382401E+03  0.000000E+00  0.000000E+00  0.443855E+02
 0.394139E+03  0.000000E+00  0.000000E+00  0.457478E+02
 0.405872E+03  0.000000E+00  0.000000E+00  0.471098E+02
 0.417596E+03  0.000000E+00  0.000000E+00  0.484706E+02
 0.429320E+03  0.000000E+00  0.000000E+00  0.498314E+02
 0.441042E+03  0.000000E+00  0.000000E+00  0.511920E+02
 0.452754E+03  0.000000E+00  0.000000E+00  0.525514E+02
 0.464467E+03  0.000000E+00  0.000000E+00  0.539108E+02
 0.476178E+03  0.000000E+00  0.000000E+00  0.552702E+02
 0.487878E+03  0.000000E+00  0.000000E+00  0.566282E+02
 0.499578E+03  0.000000E+00  0.000000E+00  0.579862E+02
 0.511277E+03  0.000000E+00  0.000000E+00  0.593442E+02
 0.522965E+03  0.000000E+00  0.000000E+00  0.607008E+02
 0.534652E+03  0.000000E+00  0.000000E+00  0.620572E+02
 0.546338E+03  0.000000E+00  0.000000E+00  0.634137E+02
 0.558015E+03  0.000000E+00  0.000000E+00  0.647691E+02
 0.569690E+03  0.000000E+00  0.000000E+00  0.661241E+02
 0.581364E+03  0.000000E+00  0.000000E+00  0.674792E+02
 0.593030E+03  0.000000E+00  0.000000E+00  0.688333E+02
 0.604692E+03  0.000000E+00  0.000000E+00  0.701869E+02
 0.616354E+03  0.000000E+00  0.000000E+00  0.715405E+02
 0.628010E+03  0.000000E+00  0.000000E+00  0.728934E+02
 0.639659E+03  0.000000E+00  0.000000E+00  0.742455E+02
 0.651308E+03  0.000000E+00  0.000000E+00  0.755976E+02
 0.662953E+03  0.000000E+00  0.000000E+00  0.769492E+02
 0.674590E+03  0.000000E+00  0.000000E+00  0.783000E+02
 0.686227E+03  0.000000E+00  0.000000E+00  0.796507E+02
 0.697862E+03  0.000000E+00  0.000000E+00  0.810011E+02
 0.709487E+03  0.000000E+00  0.000000E+00  0.823504E+02
 0.721112E+03  0.000000E+00  0.000000E+00  0.836998E+02
 0.732736E+03  0.000000E+00  0.000000E+00  0.850490E+02
 0.744348E+03  0.000000E+00  0.000000E+00  0.863968E+02
 0.755961E+03  0.000000E+00  0.000000E+00  0.877447E+02
 0.767573E+03  0.000000E+00  0.000000E+00  0.890926E+02
 0.779175E+03  0.000000E+00  0.000000E+00  0.904392E+02
 0.790775E+03  0.000000E+00  0.000000E+00  0.917856E+02
 0.802376E+03  0.000000E+00  0.000000E+00  0.931321E+02
 0.813967E+03  0.000000E+00  0.000000E+00  0.944775E+02
 0.825555E+03  0.000000E+00  0.000000E+00  0.958225E+02
 0.837143E+03  0.000000E+00  0.000000E+00  0.971675E+02
 0.848723E+03  0.000000E+00  0.000000E+00  0.985116E+02
 0.860299E+03  0.000000E+00  0.000000E+00  0.998552E+02
 0.871874E+03  0.000000E+00  0.000000E+00  0.101199E+03
 0.883444E+03  0.000000E+00  0.000000E+00  0.102542E+03
 0.895008E+03  0.000000E+00  0.000000E+00  0.103884E+03
 0.906572E+03  0.000000E+00  0.000000E+00  0.105226E+03
 0.918132E+03  0.000000E+00  0.000000E+00  0.106568E+03
 0.929684E+03  0.000000E+00  0.000000E+00  0.107909E+03
 0.941235E+03  0.000000E+00  0.000000E+00  0.109250E+03
 0.952785E+03  0.000000E+00  0.000000E+00  0.110590E+03
 0.964325E+03  0.000000E+00  0.000000E+00  0.111930E+03
 0.975865E+03  0.000000E+00  0.000000E+00  0.113269E+03
 0.987404E+03  0.000000E+00  0.000000E+00  0.114608E+03
 0.998933E+03  0.000000E+00  0.000000E+00  0.115947E+03
 0.101046E+04  0.000000E+00  0.000000E+00  0.117285E+03
 0.102199E+04  0.000000E+00  0.000000E+00  0.118623E+03
 0.103351E+04  0.000000E+00  0.000000E+00  0.119960E+03
 0.104502E+04  0.000000E+00  0.000000E+00  0.121296E+03
 0.105654E+04  0.000000E+00  0.000000E+00  0.122633E+03
 0.106805E+04  0.000000E+00  0.000000E+00  0.123969E+03
 0.107955E+04  0.000000E+00  0.000000E+00  0.125304E+03
 0.109106E+04  0.000000E+00  0.000000E+00  0.126639E+03
 0.110255E+04  0.000000E+00  0.000000E+00  0.127974E+03
 0.111405E+04  0.000000E+00  0.000000E+00  0.129308E+03
 0.112554E+04  0.000000E+00  0.000000E+00  0.130642E+03
 0.113703E+04  0.000000E+00  0.000000E+00  0.131976E+03
 0.114851E+04  0.000000E+00  0.000000E+00  0.133308E+03
 0.115999E+04  0.000000E+00  0.000000E+00  0.134641E+03
 0.117147E+04  0.000000E+00  0.000000E+00  0.135973E+03
 0.118294E+04  0.000000E+00  0.000000E+00  0.137304E+03
 0.119440E+04  0.000000E+00  0.000000E+00  0.138635E+03
 0.120587E+04  0.000000E+00  0.000000E+00  0.139966E+03
 0.121733E+04  0.000000E+00  0.000000E+00  0.141296E+03
 0.122879E+04  0.000000E+00  0.000000E+00  0.142626E+03
 0.124024E+04  0.000000E+00  0.000000E+00  0.143956E+03
 0.125169E+04  0.000000E+00  0.000000E+00  0.145285E+03
 0.126314E+04  0.000000E+00  0.000000E+00  0.146613E+03
 0.127458E+04  0.000000E+00  0.000000E+00  0.147942E+03
 0.128603E+04  0.000000E+00  0.000000E+00  0.149269E+03
 0.129746E+04  0.000000E+00  0.000000E+00  0.150597E+03
 0.130889E+04  0.000000E+00  0.000000E+00  0.151924E+03
 0.132033E+04  0.000000E+00  0.000000E+00  0.153251E+03
 0.133175E+04  0.000000E+00  0.000000E+00  0.154576E+03
 0.134317E+04  0.000000E+00  0.000000E+00  0.155902E+03
 0.135459E+04  0.000000E+00  0.000000E+00  0.157228E+03
 0.136600E+04  0.000000E+00  0.000000E+00  0.158552E+03
 0.137741E+04  0.000000E+00  0.000000E+00  0.159877E+03
 0.138882E+04  0.000000E+00  0.000000E+00  0.161201E+03
 0.140022E+04  0.000000E+00  0.000000E+00  0.162525E+03
 0.141162E+04  0.000000E+00  0.000000E+00  0.163848E+03
 0.142302E+04  0.000000E+00  0.000000E+00  0.165171E+03
 0.143442E+04  0.000000E+00  0.000000E+00  0.166493E+03
 0.144580E+04  0.000000E+00  0.000000E+00  0.167815E+03
 0.145719E+04  0.000000E+00  0.000000E+00  0.169137E+03
 0.146858E+04  0.000000E+00  0.000000E+00  0.170458E+03
 0.147995E+04  0.000000E+00  0.000000E+00  0.171779E+03
 0.149133E+04  0.000000E+00  0.000000E+00  0.173099E+03
 0.150525E+04  0.000000E+00  0.000000E+00  0.176170E+03
 0.152732E+04  0.000000E+00  0.000000E+00  0.181038E+03
 0.154939E+04  0.000000E+00  0.000000E+00  0.185906E+03
 0.157145E+04  0.000000E+00  0.000000E+00  0.190774E+03
