NDF v10.0b 16Jan21 rev 16Jan21 run 08/08/2023 15:05:09 Filename: idff0101.datbatch idf_example3.spc
str idf_example3.str
file idf_example31.dat
geo idf_example31.geo
 channel data fit
integral  0.23279E+07  0.17306E+07
    1  0.89100E+03  0.15054E+04
    2  0.60433E+03  0.16884E+04
    3  0.37430E+03  0.18689E+04
    4  0.19994E+03  0.20428E+04
    5  0.78764E+02  0.22062E+04
    6  0.64439E+01  0.23563E+04
    7 -0.23439E+02  0.24908E+04
    8 -0.19581E+02  0.26087E+04
    9  0.66751E+01  0.27094E+04
   10  0.40720E+02  0.27934E+04
   11  0.63985E+02  0.28617E+04
   12  0.38408E+02  0.29157E+04
   13 -0.13647E+03  0.29568E+04
   14 -0.52368E+03  0.29869E+04
   15 -0.90029E+03  0.30074E+04
   16 -0.50150E+03  0.30198E+04
   17  0.18724E+04  0.30255E+04
   18  0.70806E+04  0.30254E+04
   19  0.14579E+05  0.30206E+04
   20  0.22038E+05  0.30119E+04
   21  0.26484E+05  0.29997E+04
   22  0.27489E+05  0.29849E+04
   23  0.26707E+05  0.29677E+04
   24  0.25610E+05  0.29486E+04
   25  0.24726E+05  0.29280E+04
   26  0.23998E+05  0.29062E+04
   27  0.23300E+05  0.28835E+04
   28  0.22613E+05  0.28601E+04
   29  0.21931E+05  0.28363E+04
   30  0.21223E+05  0.28123E+04
   31  0.20463E+05  0.27883E+04
   32  0.19647E+05  0.27643E+04
   33  0.18791E+05  0.27405E+04
   34  0.17921E+05  0.27170E+04
   35  0.17062E+05  0.26938E+04
   36  0.16226E+05  0.26711E+04
   37  0.15419E+05  0.26488E+04
   38  0.14644E+05  0.26270E+04
   39  0.13913E+05  0.26057E+04
   40  0.13244E+05  0.25849E+04
   41  0.12651E+05  0.25645E+04
   42  0.12132E+05  0.25447E+04
   43  0.11670E+05  0.25253E+04
   44  0.11250E+05  0.25065E+04
   45  0.10866E+05  0.24880E+04
   46  0.10519E+05  0.24700E+04
   47  0.10210E+05  0.24524E+04
   48  0.99315E+04  0.24353E+04
   49  0.96699E+04  0.24185E+04
   50  0.94145E+04  0.24020E+04
   51  0.91635E+04  0.23859E+04
   52  0.89226E+04  0.23702E+04
   53  0.86997E+04  0.23547E+04
   54  0.84992E+04  0.23396E+04
   55  0.83198E+04  0.23248E+04
   56  0.81547E+04  0.23102E+04
   57  0.79935E+04  0.22960E+04
   58  0.78243E+04  0.22820E+04
   59  0.76344E+04  0.22683E+04
   60  0.74239E+04  0.22548E+04
   61  0.72044E+04  0.22416E+04
   62  0.69868E+04  0.22287E+04
   63  0.67728E+04  0.22159E+04
   64  0.65545E+04  0.22035E+04
   65  0.63257E+04  0.21913E+04
   66  0.60962E+04  0.21793E+04
   67  0.58941E+04  0.21675E+04
   68  0.57096E+04  0.21560E+04
   69  0.54968E+04  0.21447E+04
   70  0.52671E+04  0.21336E+04
   71  0.50647E+04  0.21228E+04
   72  0.48795E+04  0.21121E+04
   73  0.46938E+04  0.21017E+04
   74  0.45090E+04  0.20915E+04
   75  0.43335E+04  0.20814E+04
   76  0.41682E+04  0.20716E+04
   77  0.40090E+04  0.20620E+04
   78  0.38537E+04  0.20527E+04
   79  0.37051E+04  0.20435E+04
   80  0.35685E+04  0.20345E+04
   81  0.34487E+04  0.20257E+04
   82  0.33477E+04  0.20171E+04
   83  0.32648E+04  0.20086E+04
   84  0.31972E+04  0.20004E+04
   85  0.31386E+04  0.19923E+04
   86  0.30793E+04  0.19844E+04
   87  0.30100E+04  0.19767E+04
   88  0.29260E+04  0.19691E+04
   89  0.28314E+04  0.19617E+04
   90  0.27367E+04  0.19544E+04
   91  0.26530E+04  0.19472E+04
   92  0.25859E+04  0.19402E+04
   93  0.25342E+04  0.19333E+04
   94  0.24947E+04  0.19266E+04
   95  0.24639E+04  0.19199E+04
   96  0.24386E+04  0.19134E+04
   97  0.24162E+04  0.19069E+04
   98  0.23947E+04  0.19006E+04
   99  0.23729E+04  0.18944E+04
  100  0.23506E+04  0.18883E+04
  101  0.23280E+04  0.18823E+04
  102  0.23057E+04  0.18764E+04
  103  0.22842E+04  0.18706E+04
  104  0.22639E+04  0.18648E+04
  105  0.22449E+04  0.18592E+04
  106  0.22269E+04  0.18537E+04
  107  0.22094E+04  0.18483E+04
  108  0.21921E+04  0.18429E+04
  109  0.21747E+04  0.18377E+04
  110  0.21568E+04  0.18325E+04
  111  0.21384E+04  0.18274E+04
  112  0.21199E+04  0.18224E+04
  113  0.21015E+04  0.18175E+04
  114  0.20837E+04  0.18126E+04
  115  0.20668E+04  0.18079E+04
  116  0.20512E+04  0.18032E+04
  117  0.20371E+04  0.17985E+04
  118  0.20247E+04  0.17940E+04
  119  0.20138E+04  0.17895E+04
  120  0.20042E+04  0.17850E+04
  121  0.19957E+04  0.17806E+04
  122  0.19879E+04  0.17763E+04
  123  0.19803E+04  0.17721E+04
