NDF v10.0b 16Jan21 rev 16Jan21 run 07/08/2023 18:20:24 Filename: id010101.datbatch idf_example3.spc
str idf_example3.str
file idf_example31.dat
geo idf_example31.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.168233E+03 -0.195599E+01  0.000000E+00 -0.237641E+02
-0.161715E+03 -0.198111E+01  0.000000E+00 -0.228433E+02
-0.155196E+03 -0.192512E+01  0.000000E+00 -0.219225E+02
-0.148678E+03 -0.180181E+01  0.000000E+00 -0.210017E+02
-0.142159E+03 -0.164217E+01  0.000000E+00 -0.200810E+02
-0.135641E+03 -0.147378E+01  0.000000E+00 -0.191602E+02
-0.129123E+03 -0.129725E+01  0.000000E+00 -0.182394E+02
-0.122604E+03 -0.107983E+01  0.000000E+00 -0.173186E+02
-0.116086E+03 -0.772498E+00  0.000000E+00 -0.163979E+02
-0.109567E+03 -0.339991E+00  0.000000E+00 -0.154771E+02
-0.103049E+03  0.212354E+00  0.212354E+00 -0.145563E+02
-0.965305E+02  0.837615E+00  0.837615E+00 -0.136356E+02
-0.900118E+02  0.147206E+01  0.147206E+01 -0.127148E+02
-0.834934E+02  0.207745E+01  0.207745E+01 -0.117940E+02
-0.769751E+02  0.267445E+01  0.267445E+01 -0.108732E+02
-0.704567E+02  0.335069E+01  0.335069E+01 -0.995248E+01
-0.639383E+02  0.422662E+01  0.422662E+01 -0.903172E+01
-0.574196E+02  0.538581E+01  0.538581E+01 -0.811090E+01
-0.509013E+02  0.681965E+01  0.681965E+01 -0.719014E+01
-0.443829E+02  0.843895E+01  0.843895E+01 -0.626938E+01
-0.378645E+02  0.101467E+02  0.101467E+02 -0.534862E+01
-0.313458E+02  0.118794E+02  0.118794E+02 -0.442780E+01
-0.248274E+02  0.136070E+02  0.136070E+02 -0.350704E+01
-0.183091E+02  0.153231E+02  0.153231E+02 -0.258628E+01
-0.117907E+02  0.170679E+02  0.170679E+02 -0.166552E+01
-0.527236E+01  0.189129E+02  0.189129E+02 -0.744756E+00
 0.124636E+01  0.208526E+02  0.208526E+02  0.176057E+00
 0.776473E+01  0.227844E+02  0.227844E+02  0.109682E+01
 0.142831E+02  0.244976E+02  0.244976E+02  0.201758E+01
 0.208015E+02  0.259303E+02  0.259303E+02  0.293834E+01
 0.273198E+02  0.271838E+02  0.271838E+02  0.385911E+01
 0.338385E+02  0.284116E+02  0.284116E+02  0.477992E+01
 0.403569E+02  0.296572E+02  0.296572E+02  0.570068E+01
 0.468753E+02  0.307528E+02  0.307528E+02  0.662144E+01
 0.533936E+02  0.314714E+02  0.314714E+02  0.754220E+01
 0.599120E+02  0.317546E+02  0.317546E+02  0.846297E+01
 0.664090E+02  0.318549E+02  0.318549E+02  0.938071E+01
 0.729054E+02  0.317523E+02  0.317523E+02  0.102984E+02
 0.794017E+02  0.316686E+02  0.316686E+02  0.112160E+02
 0.858981E+02  0.316821E+02  0.316821E+02  0.121337E+02
 0.923948E+02  0.317905E+02  0.317905E+02  0.130514E+02
 0.988912E+02  0.319098E+02  0.319098E+02  0.139690E+02
 0.105388E+03  0.319302E+02  0.319302E+02  0.148867E+02
 0.111884E+03  0.318223E+02  0.318223E+02  0.158043E+02
 0.118380E+03  0.316532E+02  0.316532E+02  0.167220E+02
 0.124861E+03  0.315953E+02  0.315953E+02  0.176374E+02
 0.131336E+03  0.315452E+02  0.315452E+02  0.185520E+02
 0.137810E+03  0.315192E+02  0.315192E+02  0.194666E+02
 0.144285E+03  0.315303E+02  0.315303E+02  0.203812E+02
 0.150760E+03  0.315579E+02  0.315579E+02  0.212958E+02
 0.157235E+03  0.315823E+02  0.315823E+02  0.222105E+02
 0.163710E+03  0.315976E+02  0.315976E+02  0.231251E+02
 0.170185E+03  0.315971E+02  0.315971E+02  0.240397E+02
 0.176659E+03  0.315911E+02  0.315911E+02  0.249543E+02
 0.183124E+03  0.316445E+02  0.316445E+02  0.258675E+02
 0.189579E+03  0.317298E+02  0.317298E+02  0.267793E+02
 0.196033E+03  0.318127E+02  0.318127E+02  0.276910E+02
 0.202488E+03  0.319476E+02  0.319476E+02  0.286027E+02
 0.208942E+03  0.321320E+02  0.321320E+02  0.295145E+02
 0.215397E+03  0.323487E+02  0.323487E+02  0.304262E+02
 0.221851E+03  0.325799E+02  0.325799E+02  0.313380E+02
 0.228306E+03  0.327943E+02  0.327943E+02  0.322497E+02
 0.234760E+03  0.329680E+02  0.329680E+02  0.331614E+02
 0.241210E+03  0.331002E+02  0.331002E+02  0.340726E+02
 0.247643E+03  0.332215E+02  0.332215E+02  0.349813E+02
 0.254076E+03  0.331651E+02  0.331651E+02  0.358899E+02
 0.260509E+03  0.330100E+02  0.330100E+02  0.367986E+02
 0.266942E+03  0.327581E+02  0.327581E+02  0.377073E+02
 0.273374E+03  0.324251E+02  0.324251E+02  0.386160E+02
 0.279807E+03  0.320669E+02  0.320669E+02  0.395247E+02
 0.286240E+03  0.317740E+02  0.317740E+02  0.404333E+02
 0.292673E+03  0.316091E+02  0.316091E+02  0.413420E+02
 0.299106E+03  0.315883E+02  0.315883E+02  0.422507E+02
 0.305513E+03  0.317947E+02  0.317947E+02  0.431558E+02
 0.311917E+03  0.319257E+02  0.319257E+02  0.440604E+02
 0.318321E+03  0.319873E+02  0.319873E+02  0.449649E+02
 0.324724E+03  0.319259E+02  0.319259E+02  0.458695E+02
 0.331128E+03  0.317076E+02  0.317076E+02  0.467740E+02
 0.337532E+03  0.313353E+02  0.313353E+02  0.476786E+02
 0.343935E+03  0.308455E+02  0.308455E+02  0.485831E+02
 0.350339E+03  0.302726E+02  0.302726E+02  0.494877E+02
 0.356743E+03  0.296464E+02  0.296464E+02  0.503922E+02
 0.363146E+03  0.289790E+02  0.289790E+02  0.512968E+02
 0.369550E+03  0.282699E+02  0.282699E+02  0.522014E+02
 0.375934E+03  0.276072E+02  0.276072E+02  0.531032E+02
 0.382313E+03  0.268481E+02  0.268481E+02  0.540042E+02
 0.388691E+03  0.260278E+02  0.260278E+02  0.549051E+02
 0.395070E+03  0.251560E+02  0.251560E+02  0.558061E+02
 0.401448E+03  0.242012E+02  0.242012E+02  0.567072E+02
 0.407827E+03  0.231398E+02  0.231398E+02  0.576082E+02
 0.414205E+03  0.219622E+02  0.219622E+02  0.585091E+02
 0.420584E+03  0.206838E+02  0.206838E+02  0.594101E+02
