NDF v10.0b 16Jan21 rev 16Jan21 run 07/08/2023 18:20:51 Filename: id020102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
 0.108512E+04  0.491346E-01  0.491346E-01  0.202331E+03
 0.110433E+04  0.464734E-01  0.464734E-01  0.206176E+03
 0.112352E+04  0.444724E-01  0.444724E-01  0.210018E+03
 0.114272E+04  0.431654E-01  0.431654E-01  0.213860E+03
 0.116191E+04  0.425510E-01  0.425510E-01  0.217702E+03
 0.118111E+04  0.425531E-01  0.425531E-01  0.221544E+03
 0.120030E+04  0.430529E-01  0.430529E-01  0.225386E+03
 0.121950E+04  0.438517E-01  0.438517E-01  0.229229E+03
 0.123867E+04  0.447716E-01  0.447716E-01  0.233066E+03
 0.125778E+04  0.455954E-01  0.455954E-01  0.236892E+03
 0.127690E+04  0.458922E-01  0.458922E-01  0.240718E+03
 0.129601E+04  0.456617E-01  0.456617E-01  0.244543E+03
 0.131513E+04  0.448694E-01  0.448694E-01  0.248369E+03
 0.133424E+04  0.435788E-01  0.435788E-01  0.252195E+03
 0.135335E+04  0.419270E-01  0.419270E-01  0.256021E+03
 0.137247E+04  0.400987E-01  0.400987E-01  0.259846E+03
 0.139152E+04  0.384096E-01  0.384096E-01  0.263660E+03
 0.141055E+04  0.368364E-01  0.368364E-01  0.267470E+03
 0.142959E+04  0.355846E-01  0.355846E-01  0.271279E+03
 0.144862E+04  0.348130E-01  0.348130E-01  0.275089E+03
 0.146765E+04  0.345798E-01  0.345798E-01  0.278899E+03
 0.148669E+04  0.348878E-01  0.348878E-01  0.282709E+03
 0.150572E+04  0.356556E-01  0.356556E-01  0.286518E+03
 0.152474E+04  0.367723E-01  0.367723E-01  0.290325E+03
 0.154369E+04  0.381279E-01  0.381279E-01  0.294118E+03
 0.156264E+04  0.392856E-01  0.392856E-01  0.297911E+03
 0.158159E+04  0.402062E-01  0.402062E-01  0.301704E+03
 0.160054E+04  0.407782E-01  0.407782E-01  0.305497E+03
