NDF v10.0b 16Jan21 rev 16Jan21 run 07/08/2023 18:20:04 Filename: id010202.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Pt   
 depth(at/cm2) element>0 element depth(nm)
-0.306089E+03  0.192843E+00  0.192843E+00 -0.450969E+02
-0.294089E+03  0.202554E+00  0.202554E+00 -0.433290E+02
-0.282088E+03  0.213373E+00  0.213373E+00 -0.415609E+02
-0.270089E+03  0.225680E+00  0.225680E+00 -0.397929E+02
-0.258089E+03  0.239885E+00  0.239885E+00 -0.380249E+02
-0.246088E+03  0.256537E+00  0.256537E+00 -0.362568E+02
-0.234088E+03  0.276392E+00  0.276392E+00 -0.344889E+02
-0.222088E+03  0.300316E+00  0.300316E+00 -0.327208E+02
-0.210088E+03  0.329647E+00  0.329647E+00 -0.309528E+02
-0.198088E+03  0.366034E+00  0.366034E+00 -0.291848E+02
-0.186087E+03  0.413079E+00  0.413079E+00 -0.274168E+02
-0.174087E+03  0.481130E+00  0.481130E+00 -0.256488E+02
-0.162087E+03  0.584903E+00  0.584903E+00 -0.238807E+02
-0.150087E+03  0.738980E+00  0.738980E+00 -0.221127E+02
-0.138086E+03  0.957394E+00  0.957394E+00 -0.203447E+02
-0.126087E+03  0.126246E+01  0.126246E+01 -0.185767E+02
-0.114087E+03  0.169580E+01  0.169580E+01 -0.168087E+02
-0.102086E+03  0.232096E+01  0.232096E+01 -0.150406E+02
-0.900862E+02  0.320788E+01  0.320788E+01 -0.132726E+02
-0.780856E+02  0.440257E+01  0.440257E+01 -0.115046E+02
-0.660857E+02  0.591704E+01  0.591704E+01 -0.973659E+01
-0.540858E+02  0.775212E+01  0.775212E+01 -0.796861E+01
-0.420853E+02  0.992871E+01  0.992871E+01 -0.620054E+01
-0.300854E+02  0.124785E+02  0.124785E+02 -0.443256E+01
-0.180848E+02  0.153968E+02  0.153968E+02 -0.266449E+01
-0.608491E+01  0.186258E+02  0.186258E+02 -0.896507E+00
 0.591499E+01  0.220336E+02  0.220336E+02  0.871472E+00
 0.179155E+02  0.255128E+02  0.255128E+02  0.263955E+01
 0.299154E+02  0.289324E+02  0.289324E+02  0.440753E+01
 0.419160E+02  0.321906E+02  0.321906E+02  0.617560E+01
 0.539159E+02  0.352401E+02  0.352401E+02  0.794358E+01
 0.659158E+02  0.380454E+02  0.380454E+02  0.971156E+01
 0.779133E+02  0.405813E+02  0.405813E+02  0.114792E+02
 0.898827E+02  0.428787E+02  0.428787E+02  0.132427E+02
 0.101853E+03  0.447114E+02  0.447114E+02  0.150062E+02
 0.113822E+03  0.461872E+02  0.461872E+02  0.167697E+02
 0.125791E+03  0.473326E+02  0.473326E+02  0.185332E+02
 0.137761E+03  0.481850E+02  0.481850E+02  0.202968E+02
 0.149731E+03  0.488172E+02  0.488172E+02  0.220602E+02
 0.161680E+03  0.493859E+02  0.493859E+02  0.238207E+02
