NDF v10.0b 16Jan21 rev 16Jan21 run 11/05/2022 12:20:23 Filename: id020104.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element O    
 depth(at/cm2) element>0 element depth(nm)
 0.126630E+04  0.126270E+02  0.126270E+02  0.239827E+03
 0.128674E+04  0.124276E+02  0.124276E+02  0.243918E+03
 0.130714E+04  0.122143E+02  0.122143E+02  0.248001E+03
 0.132753E+04  0.119185E+02  0.119185E+02  0.252082E+03
 0.134792E+04  0.115632E+02  0.115632E+02  0.256164E+03
 0.136831E+04  0.111796E+02  0.111796E+02  0.260245E+03
 0.138870E+04  0.108053E+02  0.108053E+02  0.264327E+03
 0.140909E+04  0.104766E+02  0.104766E+02  0.268408E+03
 0.142948E+04  0.102228E+02  0.102228E+02  0.272490E+03
 0.144984E+04  0.100740E+02  0.100740E+02  0.276565E+03
 0.147019E+04  0.100011E+02  0.100011E+02  0.280638E+03
 0.149054E+04  0.100016E+02  0.100016E+02  0.284711E+03
 0.151089E+04  0.100640E+02  0.100640E+02  0.288784E+03
 0.153124E+04  0.101740E+02  0.101740E+02  0.292857E+03
 0.155159E+04  0.103228E+02  0.103228E+02  0.296930E+03
 0.157194E+04  0.105054E+02  0.105054E+02  0.301003E+03
 0.159226E+04  0.107383E+02  0.107383E+02  0.305070E+03
 0.161256E+04  0.110027E+02  0.110027E+02  0.309135E+03
 0.163287E+04  0.113001E+02  0.113001E+02  0.313199E+03
 0.165317E+04  0.116401E+02  0.116401E+02  0.317263E+03
 0.167348E+04  0.120255E+02  0.120255E+02  0.321327E+03
 0.169378E+04  0.124580E+02  0.124580E+02  0.325392E+03
 0.171409E+04  0.129371E+02  0.129371E+02  0.329456E+03
 0.173437E+04  0.134734E+02  0.134734E+02  0.333517E+03
 0.175464E+04  0.140478E+02  0.140478E+02  0.337574E+03
 0.177492E+04  0.146322E+02  0.146322E+02  0.341632E+03
 0.179519E+04  0.152172E+02  0.152172E+02  0.345689E+03
 0.181546E+04  0.157768E+02  0.157768E+02  0.349747E+03
 0.183573E+04  0.162807E+02  0.162807E+02  0.353804E+03
 0.185600E+04  0.166988E+02  0.166988E+02  0.357862E+03
 0.187626E+04  0.170052E+02  0.170052E+02  0.361918E+03
 0.189651E+04  0.171648E+02  0.171648E+02  0.365970E+03
 0.191676E+04  0.171367E+02  0.171367E+02  0.370023E+03
 0.193701E+04  0.169268E+02  0.169268E+02  0.374076E+03
 0.195725E+04  0.165523E+02  0.165523E+02  0.378129E+03
 0.197750E+04  0.160607E+02  0.160607E+02  0.382181E+03
 0.199775E+04  0.155212E+02  0.155212E+02  0.386234E+03
 0.201799E+04  0.150142E+02  0.150142E+02  0.390286E+03
 0.203822E+04  0.146171E+02  0.146171E+02  0.394334E+03
 0.205844E+04  0.143538E+02  0.143538E+02  0.398383E+03
 0.207867E+04  0.142484E+02  0.142484E+02  0.402431E+03
 0.209890E+04  0.142856E+02  0.142856E+02  0.406479E+03
 0.211912E+04  0.144274E+02  0.144274E+02  0.410528E+03
 0.213935E+04  0.146313E+02  0.146313E+02  0.414576E+03
 0.215957E+04  0.148611E+02  0.148611E+02  0.418624E+03
 0.217976E+04  0.151145E+02  0.151145E+02  0.422666E+03
 0.219996E+04  0.153344E+02  0.153344E+02  0.426708E+03
 0.222015E+04  0.155504E+02  0.155504E+02  0.430750E+03
 0.224034E+04  0.157801E+02  0.157801E+02  0.434792E+03
 0.226054E+04  0.160460E+02  0.160460E+02  0.438834E+03
 0.228073E+04  0.163685E+02  0.163685E+02  0.442876E+03
 0.230092E+04  0.167482E+02  0.167482E+02  0.446918E+03
 0.232112E+04  0.171618E+02  0.171618E+02  0.450960E+03
 0.234131E+04  0.175648E+02  0.175648E+02  0.455002E+03
 0.236151E+04  0.178961E+02  0.178961E+02  0.459044E+03
 0.238170E+04  0.181010E+02  0.181010E+02  0.463086E+03
 0.240190E+04  0.181465E+02  0.181465E+02  0.467128E+03
 0.242209E+04  0.180312E+02  0.180312E+02  0.471171E+03
 0.244229E+04  0.177956E+02  0.177956E+02  0.475213E+03
 0.246248E+04  0.175096E+02  0.175096E+02  0.479255E+03
 0.248267E+04  0.172567E+02  0.172567E+02  0.483296E+03
 0.250287E+04  0.171188E+02  0.171188E+02  0.487338E+03
 0.252306E+04  0.171512E+02  0.171512E+02  0.491380E+03
 0.254325E+04  0.173655E+02  0.173655E+02  0.495422E+03
 0.256344E+04  0.177327E+02  0.177327E+02  0.499464E+03
 0.258364E+04  0.181907E+02  0.181907E+02  0.503505E+03
 0.260383E+04  0.186684E+02  0.186684E+02  0.507547E+03
 0.262402E+04  0.191025E+02  0.191025E+02  0.511588E+03
 0.264420E+04  0.194541E+02  0.194541E+02  0.515628E+03
 0.266439E+04  0.197174E+02  0.197174E+02  0.519669E+03
 0.268458E+04  0.199182E+02  0.199182E+02  0.523710E+03
 0.270477E+04  0.201021E+02  0.201021E+02  0.527751E+03
 0.272496E+04  0.203260E+02  0.203260E+02  0.531792E+03
 0.274515E+04  0.206411E+02  0.206411E+02  0.535834E+03
 0.276535E+04  0.210857E+02  0.210857E+02  0.539878E+03
 0.278556E+04  0.216790E+02  0.216790E+02  0.543921E+03
 0.280576E+04  0.223802E+02  0.223802E+02  0.547965E+03
 0.282596E+04  0.231160E+02  0.231160E+02  0.552009E+03
 0.284616E+04  0.237850E+02  0.237850E+02  0.556053E+03
 0.286637E+04  0.242846E+02  0.242846E+02  0.560096E+03
 0.288657E+04  0.245262E+02  0.245262E+02  0.564141E+03
 0.290679E+04  0.244541E+02  0.244541E+02  0.568188E+03
 0.292702E+04  0.241224E+02  0.241224E+02  0.572236E+03
 0.294724E+04  0.235818E+02  0.235818E+02  0.576284E+03
 0.296746E+04  0.229400E+02  0.229400E+02  0.580332E+03
 0.298768E+04  0.223258E+02  0.223258E+02  0.584379E+03
 0.300790E+04  0.218583E+02  0.218583E+02  0.588427E+03
 0.302813E+04  0.216258E+02  0.216258E+02  0.592475E+03
 0.304839E+04  0.216426E+02  0.216426E+02  0.596530E+03
 0.306865E+04  0.219992E+02  0.219992E+02  0.600585E+03
 0.308891E+04  0.226261E+02  0.226261E+02  0.604640E+03
 0.310917E+04  0.234612E+02  0.234612E+02  0.608696E+03
 0.312943E+04  0.244105E+02  0.244105E+02  0.612751E+03
 0.314969E+04  0.253613E+02  0.253613E+02  0.616806E+03
 0.316995E+04  0.262027E+02  0.262027E+02  0.620862E+03
 0.319024E+04  0.268049E+02  0.268049E+02  0.624923E+03
 0.321053E+04  0.271848E+02  0.271848E+02  0.628985E+03
 0.323083E+04  0.273345E+02  0.273345E+02  0.633047E+03
 0.325112E+04  0.273151E+02  0.273151E+02  0.637109E+03
 0.327142E+04  0.272432E+02  0.272432E+02  0.641171E+03
 0.329171E+04  0.272600E+02  0.272600E+02  0.645234E+03
 0.331200E+04  0.274971E+02  0.274971E+02  0.649296E+03
 0.333234E+04  0.279941E+02  0.279941E+02  0.653366E+03
 0.335270E+04  0.288917E+02  0.288917E+02  0.657441E+03
 0.337306E+04  0.301809E+02  0.301809E+02  0.661516E+03
 0.339341E+04  0.317828E+02  0.317828E+02  0.665591E+03
 0.341377E+04  0.335922E+02  0.335922E+02  0.669665E+03
 0.343413E+04  0.354555E+02  0.354555E+02  0.673740E+03
