NDF v10.0b 16Jan21 rev 16Jan21 run 18/05/2022 14:37:39 Filename: id010203.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Si   
 depth(at/cm2) element>0 element depth(nm)
 0.115813E+04  0.928224E+02  0.928224E+02  0.215483E+03
 0.117810E+04  0.946893E+02  0.946893E+02  0.219479E+03
 0.119806E+04  0.970795E+02  0.970795E+02  0.223475E+03
 0.121802E+04  0.994798E+02  0.994798E+02  0.227470E+03
 0.123798E+04  0.101088E+03  0.101088E+03  0.231466E+03
 0.125795E+04  0.101501E+03  0.101501E+03  0.235461E+03
 0.127791E+04  0.100752E+03  0.100752E+03  0.239457E+03
 0.129783E+04  0.995673E+02  0.995673E+02  0.243444E+03
 0.131770E+04  0.986415E+02  0.986415E+02  0.247422E+03
 0.133758E+04  0.984979E+02  0.984979E+02  0.251401E+03
 0.135746E+04  0.994135E+02  0.994135E+02  0.255379E+03
 0.137733E+04  0.100728E+03  0.100728E+03  0.259358E+03
 0.139721E+04  0.101723E+03  0.101723E+03  0.263336E+03
 0.141708E+04  0.102288E+03  0.102288E+03  0.267315E+03
 0.143694E+04  0.102581E+03  0.102581E+03  0.271289E+03
 0.145673E+04  0.102856E+03  0.102856E+03  0.275249E+03
 0.147651E+04  0.102638E+03  0.102638E+03  0.279210E+03
 0.149630E+04  0.102403E+03  0.102403E+03  0.283170E+03
 0.151608E+04  0.102256E+03  0.102256E+03  0.287131E+03
 0.153587E+04  0.102230E+03  0.102230E+03  0.291091E+03
 0.155566E+04  0.102326E+03  0.102326E+03  0.295052E+03
 0.157544E+04  0.102508E+03  0.102508E+03  0.299012E+03
 0.159516E+04  0.103105E+03  0.103105E+03  0.302958E+03
 0.161486E+04  0.103289E+03  0.103289E+03  0.306902E+03
 0.163457E+04  0.103336E+03  0.103336E+03  0.310846E+03
 0.165427E+04  0.103246E+03  0.103246E+03  0.314790E+03
 0.167398E+04  0.103004E+03  0.103004E+03  0.318734E+03
 0.169368E+04  0.102626E+03  0.102626E+03  0.322678E+03
 0.171339E+04  0.102150E+03  0.102150E+03  0.326622E+03
 0.173304E+04  0.101907E+03  0.101907E+03  0.330556E+03
 0.175265E+04  0.101585E+03  0.101585E+03  0.334482E+03
 0.177227E+04  0.101134E+03  0.101134E+03  0.338409E+03
 0.179189E+04  0.100773E+03  0.100773E+03  0.342335E+03
 0.181150E+04  0.100521E+03  0.100521E+03  0.346262E+03
 0.183112E+04  0.100371E+03  0.100371E+03  0.350188E+03
 0.185074E+04  0.100311E+03  0.100311E+03  0.354114E+03
 0.187033E+04  0.100425E+03  0.100425E+03  0.358037E+03
 0.188987E+04  0.100823E+03  0.100823E+03  0.361948E+03
 0.190941E+04  0.100968E+03  0.100968E+03  0.365859E+03
 0.192895E+04  0.101161E+03  0.101161E+03  0.369770E+03
 0.194849E+04  0.101400E+03  0.101400E+03  0.373680E+03
 0.196803E+04  0.101660E+03  0.101660E+03  0.377591E+03
 0.198756E+04  0.101926E+03  0.101926E+03  0.381502E+03
 0.200710E+04  0.102172E+03  0.102172E+03  0.385413E+03
 0.202657E+04  0.102751E+03  0.102751E+03  0.389310E+03
 0.204603E+04  0.102987E+03  0.102987E+03  0.393204E+03
 0.206548E+04  0.103088E+03  0.103088E+03  0.397098E+03
 0.208494E+04  0.103115E+03  0.103115E+03  0.400993E+03
 0.210439E+04  0.103076E+03  0.103076E+03  0.404887E+03
 0.212385E+04  0.102964E+03  0.102964E+03  0.408781E+03
 0.214331E+04  0.102782E+03  0.102782E+03  0.412675E+03
 0.216273E+04  0.102733E+03  0.102733E+03  0.416563E+03
 0.218210E+04  0.102738E+03  0.102738E+03  0.420440E+03
 0.220147E+04  0.102480E+03  0.102480E+03  0.424318E+03
 0.222084E+04  0.102256E+03  0.102256E+03  0.428195E+03
 0.224022E+04  0.102108E+03  0.102108E+03  0.432073E+03
 0.225959E+04  0.102046E+03  0.102046E+03  0.435950E+03
 0.227896E+04  0.102078E+03  0.102078E+03  0.439828E+03
 0.229833E+04  0.102187E+03  0.102187E+03  0.443705E+03
 0.231763E+04  0.102756E+03  0.102756E+03  0.447567E+03
 0.233692E+04  0.102953E+03  0.102953E+03  0.451429E+03
 0.235621E+04  0.103097E+03  0.103097E+03  0.455290E+03
 0.237550E+04  0.103182E+03  0.103182E+03  0.459151E+03
 0.239479E+04  0.103211E+03  0.103211E+03  0.463013E+03
 0.241408E+04  0.103176E+03  0.103176E+03  0.466874E+03
 0.243337E+04  0.103103E+03  0.103103E+03  0.470735E+03
 0.245263E+04  0.103223E+03  0.103223E+03  0.474589E+03
 0.247183E+04  0.103402E+03  0.103402E+03  0.478434E+03
 0.249104E+04  0.103365E+03  0.103365E+03  0.482278E+03
 0.251025E+04  0.103371E+03  0.103371E+03  0.486123E+03
 0.252945E+04  0.103429E+03  0.103429E+03  0.489967E+03
 0.254866E+04  0.103524E+03  0.103524E+03  0.493811E+03
 0.256787E+04  0.103651E+03  0.103651E+03  0.497656E+03
 0.258708E+04  0.103790E+03  0.103790E+03  0.501500E+03
 0.260621E+04  0.104315E+03  0.104315E+03  0.505331E+03
 0.262534E+04  0.104476E+03  0.104476E+03  0.509160E+03
 0.264448E+04  0.104592E+03  0.104592E+03  0.512990E+03
 0.266361E+04  0.104682E+03  0.104682E+03  0.516819E+03
 0.268274E+04  0.104758E+03  0.104758E+03  0.520649E+03
 0.270187E+04  0.104819E+03  0.104819E+03  0.524478E+03
 0.272100E+04  0.104872E+03  0.104872E+03  0.528307E+03
 0.274011E+04  0.105088E+03  0.105088E+03  0.532131E+03
 0.275916E+04  0.105408E+03  0.105408E+03  0.535945E+03
 0.277821E+04  0.105443E+03  0.105443E+03  0.539758E+03
 0.279727E+04  0.105450E+03  0.105450E+03  0.543572E+03
 0.281632E+04  0.105429E+03  0.105429E+03  0.547386E+03
 0.283537E+04  0.105366E+03  0.105366E+03  0.551199E+03
 0.285442E+04  0.105267E+03  0.105267E+03  0.555013E+03
 0.287348E+04  0.105137E+03  0.105137E+03  0.558826E+03
 0.289247E+04  0.105344E+03  0.105344E+03  0.562627E+03
 0.291144E+04  0.105278E+03  0.105278E+03  0.566425E+03
 0.293041E+04  0.105118E+03  0.105118E+03  0.570223E+03
 0.294939E+04  0.104950E+03  0.104950E+03  0.574021E+03
 0.296836E+04  0.104781E+03  0.104781E+03  0.577819E+03
 0.298734E+04  0.104605E+03  0.104605E+03  0.581616E+03
 0.300631E+04  0.104429E+03  0.104429E+03  0.585414E+03
 0.302527E+04  0.104323E+03  0.104323E+03  0.589210E+03
 0.304417E+04  0.104485E+03  0.104485E+03  0.592993E+03
 0.306308E+04  0.104347E+03  0.104347E+03  0.596777E+03
 0.308198E+04  0.104216E+03  0.104216E+03  0.600561E+03
 0.310089E+04  0.104095E+03  0.104095E+03  0.604345E+03
 0.311979E+04  0.103957E+03  0.103957E+03  0.608129E+03
 0.313869E+04  0.103781E+03  0.103781E+03  0.611912E+03
 0.315760E+04  0.103551E+03  0.103551E+03  0.615696E+03
 0.317646E+04  0.103479E+03  0.103479E+03  0.619472E+03
 0.319529E+04  0.103323E+03  0.103323E+03  0.623241E+03
 0.321412E+04  0.102941E+03  0.102941E+03  0.627009E+03
 0.323295E+04  0.102567E+03  0.102567E+03  0.630778E+03
 0.325178E+04  0.102253E+03  0.102253E+03  0.634547E+03
 0.327060E+04  0.102033E+03  0.102033E+03  0.638316E+03
 0.328943E+04  0.101933E+03  0.101933E+03  0.642084E+03
 0.330826E+04  0.101946E+03  0.101946E+03  0.645853E+03
 0.332703E+04  0.102387E+03  0.102387E+03  0.649610E+03
 0.334579E+04  0.102596E+03  0.102596E+03  0.653365E+03
 0.336455E+04  0.102747E+03  0.102747E+03  0.657119E+03
 0.338331E+04  0.102859E+03  0.102859E+03  0.660874E+03
 0.340206E+04  0.102900E+03  0.102900E+03  0.664629E+03
 0.342082E+04  0.102867E+03  0.102867E+03  0.668383E+03
 0.343958E+04  0.102776E+03  0.102776E+03  0.672138E+03
 0.345833E+04  0.102721E+03  0.102721E+03  0.675891E+03
 0.347702E+04  0.102932E+03  0.102932E+03  0.679632E+03
 0.349571E+04  0.102881E+03  0.102881E+03  0.683373E+03
 0.351440E+04  0.102914E+03  0.102914E+03  0.687115E+03
 0.353309E+04  0.103064E+03  0.103064E+03  0.690856E+03
 0.355179E+04  0.103337E+03  0.103337E+03  0.694597E+03
 0.357048E+04  0.103742E+03  0.103742E+03  0.698338E+03
 0.358917E+04  0.104267E+03  0.104267E+03  0.702080E+03
 0.360783E+04  0.105067E+03  0.105067E+03  0.705815E+03
 0.362645E+04  0.105999E+03  0.105999E+03  0.709542E+03
 0.364508E+04  0.106753E+03  0.106753E+03  0.713270E+03
 0.366370E+04  0.107528E+03  0.107528E+03  0.716997E+03
 0.368232E+04  0.108292E+03  0.108292E+03  0.720725E+03
 0.370094E+04  0.109025E+03  0.109025E+03  0.724452E+03
 0.371957E+04  0.109691E+03  0.109691E+03  0.728180E+03
 0.373819E+04  0.110278E+03  0.110278E+03  0.731907E+03
 0.375677E+04  0.110989E+03  0.110989E+03  0.735626E+03
 0.377533E+04  0.111426E+03  0.111426E+03  0.739341E+03
 0.379389E+04  0.111559E+03  0.111559E+03  0.743056E+03
 0.381245E+04  0.111505E+03  0.111505E+03  0.746771E+03
 0.383101E+04  0.111254E+03  0.111254E+03  0.750486E+03
 0.384956E+04  0.110832E+03  0.110832E+03  0.754200E+03
 0.386812E+04  0.110262E+03  0.110262E+03  0.757915E+03
 0.388668E+04  0.109596E+03  0.109596E+03  0.761630E+03
 0.390519E+04  0.109181E+03  0.109181E+03  0.765334E+03
 0.392369E+04  0.108485E+03  0.108485E+03  0.769037E+03
 0.394219E+04  0.107763E+03  0.107763E+03  0.772741E+03
 0.396069E+04  0.107087E+03  0.107087E+03  0.776443E+03
 0.397919E+04  0.106451E+03  0.106451E+03  0.780146E+03
 0.399769E+04  0.105851E+03  0.105851E+03  0.783849E+03
 0.401619E+04  0.105284E+03  0.105284E+03  0.787552E+03
 0.403469E+04  0.104755E+03  0.104755E+03  0.791255E+03
 0.405313E+04  0.104530E+03  0.104530E+03  0.794946E+03
 0.407157E+04  0.104012E+03  0.104012E+03  0.798637E+03
 0.409001E+04  0.103537E+03  0.103537E+03  0.802328E+03
 0.410845E+04  0.103129E+03  0.103129E+03  0.806019E+03
 0.412689E+04  0.102828E+03  0.102828E+03  0.809710E+03
 0.414533E+04  0.102676E+03  0.102676E+03  0.813402E+03
 0.416377E+04  0.102704E+03  0.102704E+03  0.817093E+03
 0.418220E+04  0.103007E+03  0.103007E+03  0.820781E+03
 0.420059E+04  0.103674E+03  0.103674E+03  0.824461E+03
 0.421897E+04  0.104271E+03  0.104271E+03  0.828141E+03
 0.423736E+04  0.104991E+03  0.104991E+03  0.831821E+03
 0.425574E+04  0.105746E+03  0.105746E+03  0.835501E+03
 0.427413E+04  0.106470E+03  0.106470E+03  0.839181E+03
 0.429251E+04  0.107090E+03  0.107090E+03  0.842861E+03
 0.431090E+04  0.107561E+03  0.107561E+03  0.846541E+03
 0.432927E+04  0.107964E+03  0.107964E+03  0.850217E+03
 0.434760E+04  0.108279E+03  0.108279E+03  0.853888E+03
 0.436594E+04  0.108293E+03  0.108293E+03  0.857558E+03
 0.438427E+04  0.108215E+03  0.108215E+03  0.861228E+03
 0.440261E+04  0.108094E+03  0.108094E+03  0.864898E+03
 0.442094E+04  0.107969E+03  0.107969E+03  0.868568E+03
 0.443928E+04  0.107862E+03  0.107862E+03  0.872238E+03
 0.445762E+04  0.107772E+03  0.107772E+03  0.875908E+03
 0.447593E+04  0.107838E+03  0.107838E+03  0.879573E+03
 0.449422E+04  0.107906E+03  0.107906E+03  0.883234E+03
 0.451251E+04  0.107832E+03  0.107832E+03  0.886895E+03
 0.453080E+04  0.107736E+03  0.107736E+03  0.890556E+03
 0.454909E+04  0.107614E+03  0.107614E+03  0.894217E+03
 0.456737E+04  0.107480E+03  0.107480E+03  0.897877E+03
 0.458566E+04  0.107337E+03  0.107337E+03  0.901538E+03
 0.460395E+04  0.107192E+03  0.107192E+03  0.905199E+03
 0.462222E+04  0.107211E+03  0.107211E+03  0.908854E+03
 0.464046E+04  0.107214E+03  0.107214E+03  0.912506E+03
 0.465871E+04  0.107135E+03  0.107135E+03  0.916158E+03
 0.467695E+04  0.107082E+03  0.107082E+03  0.919810E+03
 0.469520E+04  0.107050E+03  0.107050E+03  0.923462E+03
 0.471344E+04  0.107045E+03  0.107045E+03  0.927114E+03
 0.473169E+04  0.107046E+03  0.107046E+03  0.930766E+03
 0.474993E+04  0.107061E+03  0.107061E+03  0.934418E+03
 0.476815E+04  0.107245E+03  0.107245E+03  0.938064E+03
 0.478635E+04  0.107361E+03  0.107361E+03  0.941708E+03
 0.480456E+04  0.107412E+03  0.107412E+03  0.945352E+03
 0.482276E+04  0.107466E+03  0.107466E+03  0.948996E+03
 0.484097E+04  0.107544E+03  0.107544E+03  0.952640E+03
 0.485917E+04  0.107628E+03  0.107628E+03  0.956284E+03
 0.487738E+04  0.107729E+03  0.107729E+03  0.959927E+03
 0.489558E+04  0.107845E+03  0.107845E+03  0.963571E+03
 0.491377E+04  0.108059E+03  0.108059E+03  0.967212E+03
 0.493196E+04  0.108230E+03  0.108230E+03  0.970852E+03
 0.495014E+04  0.108377E+03  0.108377E+03  0.974492E+03
 0.496833E+04  0.108532E+03  0.108532E+03  0.978132E+03
 0.498651E+04  0.108679E+03  0.108679E+03  0.981772E+03
 0.500470E+04  0.108806E+03  0.108806E+03  0.985412E+03
 0.502289E+04  0.108908E+03  0.108908E+03  0.989052E+03
 0.504107E+04  0.108982E+03  0.108982E+03  0.992693E+03
 0.505922E+04  0.109204E+03  0.109204E+03  0.996326E+03
 0.507737E+04  0.109232E+03  0.109232E+03  0.999958E+03
 0.509551E+04  0.109152E+03  0.109152E+03  0.100359E+04
 0.511366E+04  0.109024E+03  0.109024E+03  0.100722E+04
 0.513180E+04  0.108862E+03  0.108862E+03  0.101085E+04
 0.514994E+04  0.108682E+03  0.108682E+03  0.101448E+04
 0.516809E+04  0.108520E+03  0.108520E+03  0.101812E+04
 0.518623E+04  0.108379E+03  0.108379E+03  0.102175E+04
 0.520436E+04  0.108361E+03  0.108361E+03  0.102538E+04
