NDF v10.0b 16Jan21 rev 16Jan21 run 07/08/2023 18:20:24 Filename: id010104.datbatch idf_example3.spc
str idf_example3.str
file idf_example31.dat
geo idf_example31.geo
element O    
 depth(at/cm2) element>0 element depth(nm)
-0.179813E+03 -0.163679E+02  0.000000E+00 -0.253998E+02
-0.172894E+03 -0.163352E+02  0.000000E+00 -0.244225E+02
-0.165975E+03 -0.165078E+02  0.000000E+00 -0.234451E+02
-0.159057E+03 -0.167183E+02  0.000000E+00 -0.224678E+02
-0.152138E+03 -0.167798E+02  0.000000E+00 -0.214905E+02
-0.145219E+03 -0.165218E+02  0.000000E+00 -0.205131E+02
-0.138300E+03 -0.158210E+02  0.000000E+00 -0.195358E+02
-0.131381E+03 -0.146370E+02  0.000000E+00 -0.185585E+02
-0.124462E+03 -0.130276E+02  0.000000E+00 -0.175811E+02
-0.117543E+03 -0.111361E+02  0.000000E+00 -0.166038E+02
-0.110625E+03 -0.916510E+01  0.000000E+00 -0.156265E+02
-0.103706E+03 -0.732996E+01  0.000000E+00 -0.146491E+02
-0.967869E+02 -0.581982E+01  0.000000E+00 -0.136718E+02
-0.898681E+02 -0.475914E+01  0.000000E+00 -0.126945E+02
-0.829492E+02 -0.419321E+01  0.000000E+00 -0.117171E+02
-0.760304E+02 -0.408704E+01  0.000000E+00 -0.107398E+02
-0.691114E+02 -0.434524E+01  0.000000E+00 -0.976245E+01
-0.621927E+02 -0.484453E+01  0.000000E+00 -0.878513E+01
-0.552739E+02 -0.546323E+01  0.000000E+00 -0.780780E+01
-0.483549E+02 -0.610231E+01  0.000000E+00 -0.683045E+01
-0.414361E+02 -0.669125E+01  0.000000E+00 -0.585313E+01
-0.345172E+02 -0.718028E+01  0.000000E+00 -0.487578E+01
-0.275984E+02 -0.753588E+01  0.000000E+00 -0.389846E+01
-0.206794E+02 -0.773716E+01  0.000000E+00 -0.292111E+01
-0.137607E+02 -0.778556E+01  0.000000E+00 -0.194378E+01
-0.684188E+01 -0.771154E+01  0.000000E+00 -0.966462E+00
 0.770820E-01 -0.757705E+01  0.000000E+00  0.108884E-01
 0.699586E+01 -0.749458E+01  0.000000E+00  0.988211E+00
 0.139148E+02 -0.757227E+01  0.000000E+00  0.196556E+01
 0.208336E+02 -0.791030E+01  0.000000E+00  0.294288E+01
 0.277526E+02 -0.855688E+01  0.000000E+00  0.392023E+01
 0.346713E+02 -0.948627E+01  0.000000E+00  0.489756E+01
 0.415901E+02 -0.105869E+02  0.000000E+00  0.587488E+01
 0.485091E+02 -0.116819E+02  0.000000E+00  0.685223E+01
 0.554279E+02 -0.125728E+02  0.000000E+00  0.782955E+01
 0.623505E+02 -0.130819E+02  0.000000E+00  0.880742E+01
 0.692800E+02 -0.131145E+02  0.000000E+00  0.978626E+01
 0.762096E+02 -0.126880E+02  0.000000E+00  0.107651E+02
 0.831393E+02 -0.118655E+02  0.000000E+00  0.117440E+02
 0.900688E+02 -0.107678E+02  0.000000E+00  0.127228E+02
 0.969986E+02 -0.950936E+01  0.000000E+00  0.137017E+02
 0.103928E+03 -0.817099E+01  0.000000E+00  0.146805E+02
 0.110858E+03 -0.678777E+01  0.000000E+00  0.156594E+02
 0.117787E+03 -0.537824E+01  0.000000E+00  0.166382E+02
 0.124726E+03 -0.397766E+01  0.000000E+00  0.176184E+02
 0.131669E+03 -0.269680E+01  0.000000E+00  0.185991E+02
 0.138612E+03 -0.170106E+01  0.000000E+00  0.195798E+02
 0.145555E+03 -0.119418E+01  0.000000E+00  0.205606E+02
 0.152498E+03 -0.136586E+01  0.000000E+00  0.215413E+02
 0.159441E+03 -0.232471E+01  0.000000E+00  0.225221E+02
 0.166384E+03 -0.405545E+01  0.000000E+00  0.235028E+02
 0.173326E+03 -0.640343E+01  0.000000E+00  0.244835E+02
 0.180270E+03 -0.909240E+01  0.000000E+00  0.254643E+02
 0.187229E+03 -0.117431E+02  0.000000E+00  0.264473E+02
 0.194188E+03 -0.140161E+02  0.000000E+00  0.274303E+02
 0.201147E+03 -0.155367E+02  0.000000E+00  0.284133E+02
 0.208106E+03 -0.160306E+02  0.000000E+00  0.293963E+02
 0.215065E+03 -0.153624E+02  0.000000E+00  0.303793E+02
