NDF v10.0b 16Jan21 rev 16Jan21 run 18/05/2022 14:37:39 Filename: id010201.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
element Co   
 depth(at/cm2) element>0 element depth(nm)
-0.303262E+03  0.619547E+00  0.619547E+00 -0.439049E+02
-0.291135E+03  0.623599E+00  0.623599E+00 -0.421493E+02
-0.279009E+03  0.632122E+00  0.632122E+00 -0.403937E+02
-0.266883E+03  0.645197E+00  0.645197E+00 -0.386382E+02
-0.254756E+03  0.662685E+00  0.662685E+00 -0.368825E+02
-0.242630E+03  0.684422E+00  0.684422E+00 -0.351269E+02
-0.230504E+03  0.709263E+00  0.709263E+00 -0.333714E+02
-0.218378E+03  0.733645E+00  0.733645E+00 -0.316158E+02
-0.206252E+03  0.755775E+00  0.755775E+00 -0.298603E+02
-0.194125E+03  0.778685E+00  0.778685E+00 -0.281047E+02
-0.181999E+03  0.810567E+00  0.810567E+00 -0.263490E+02
-0.169873E+03  0.862025E+00  0.862025E+00 -0.245935E+02
-0.157747E+03  0.947262E+00  0.947262E+00 -0.228379E+02
-0.145620E+03  0.108893E+01  0.108893E+01 -0.210823E+02
-0.133495E+03  0.131577E+01  0.131577E+01 -0.193268E+02
-0.121368E+03  0.164801E+01  0.164801E+01 -0.175712E+02
-0.109242E+03  0.208084E+01  0.208084E+01 -0.158155E+02
-0.971158E+02  0.258675E+01  0.258675E+01 -0.140600E+02
-0.849894E+02  0.314698E+01  0.314698E+01 -0.123044E+02
-0.728636E+02  0.379892E+01  0.379892E+01 -0.105489E+02
-0.607371E+02  0.464644E+01  0.464644E+01 -0.879327E+01
-0.486107E+02  0.580249E+01  0.580249E+01 -0.703765E+01
-0.364849E+02  0.729460E+01  0.729460E+01 -0.528213E+01
-0.243585E+02  0.903348E+01  0.903348E+01 -0.352652E+01
-0.122320E+02  0.108913E+02  0.108913E+02 -0.177090E+01
-0.106224E+00  0.127885E+02  0.127885E+02 -0.153786E-01
 0.120202E+02  0.146863E+02  0.146863E+02  0.174024E+01
 0.241460E+02  0.165908E+02  0.165908E+02  0.349576E+01
 0.362725E+02  0.184852E+02  0.184852E+02  0.525137E+01
 0.483989E+02  0.203725E+02  0.203725E+02  0.700699E+01
 0.605247E+02  0.221265E+02  0.221265E+02  0.876251E+01
 0.726511E+02  0.235406E+02  0.235406E+02  0.105181E+02
 0.847603E+02  0.246644E+02  0.246644E+02  0.122712E+02
 0.968564E+02  0.256274E+02  0.256274E+02  0.140225E+02
 0.108953E+03  0.265043E+02  0.265043E+02  0.157738E+02
 0.121050E+03  0.273170E+02  0.273170E+02  0.175251E+02
 0.133146E+03  0.279723E+02  0.279723E+02  0.192763E+02
 0.145243E+03  0.284309E+02  0.284309E+02  0.210276E+02
 0.157334E+03  0.287556E+02  0.287556E+02  0.227782E+02
 0.169401E+03  0.290487E+02  0.290487E+02  0.245252E+02
